,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
251,2018-10-07 00:00:00-2018-10-21 00:00:00,20.33,42.31,305,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.4256527084227939,0.6738090967980583,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
140,2018-03-18 00:00:00-2018-04-01 00:00:00,20.33,42.63,305,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.42299579231533685,0.6758599544075661,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
352,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2019-01-20 00:00:00-2019-02-03 00:00:00,1.8,4.07,27,0.4202928901378246,0.6776845669614404,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
199,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4168458304295719,0.6790309504534972,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
185,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2019-02-24 00:00:00-2019-03-10 00:00:00,3.0,6.83,45,0.4138041343834879,0.6823428600996985,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
127,2018-03-18 00:00:00-2018-04-01 00:00:00,20.33,42.63,305,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4120256460948095,0.6837615258560027,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
71,2017-07-09 00:00:00-2017-07-23 00:00:00,30.4,63.7,456,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.41576746162844647,0.6851450770342371,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
256,2018-10-07 00:00:00-2018-10-21 00:00:00,20.33,42.31,305,2019-01-20 00:00:00-2019-02-03 00:00:00,1.8,4.07,27,0.4088895730244475,0.68590725327265,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
6,2017-03-05 00:00:00-2019-12-29 00:00:00,14.99,39.95,15443,2017-05-28 00:00:00-2017-06-11 00:00:00,2.67,7.4,40,-0.40883573787504474,0.6887646014861095,False,False,7.831057340866412e-33,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
239,2018-09-16 00:00:00-2018-09-30 00:00:00,21.47,44.93,322,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.4078187878506716,0.6907713502733828,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
284,2019-02-24 00:00:00-2019-03-10 00:00:00,24.8,52.05,372,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.4022457377854043,0.6908315884292404,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
353,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2019-02-24 00:00:00-2019-03-10 00:00:00,3.0,6.83,45,0.401956320548883,0.6909340773764433,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
167,2018-06-03 00:00:00-2018-06-17 00:00:00,22.4,46.75,336,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.405019510939323,0.6927706876958364,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
383,2019-09-01 00:00:00-2019-09-15 00:00:00,15.8,33.21,237,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.40442592498109003,0.6931567044606113,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
155,2018-06-03 00:00:00-2018-06-17 00:00:00,22.4,46.75,336,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.39250343308392116,0.6978047212898715,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
271,2019-02-24 00:00:00-2019-03-10 00:00:00,24.8,52.05,372,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.3911931982244954,0.6988649740516316,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
371,2019-09-01 00:00:00-2019-09-15 00:00:00,15.8,33.21,237,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.3907235891042734,0.6991128936379429,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
332,2019-07-07 00:00:00-2019-07-21 00:00:00,35.6,75.24,534,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.39059883124154055,0.6993129043528421,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
