,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
2444,2019-03-12 00:00:00-2019-12-16 00:00:00,0.34,1.33,95,2017-03-16 00:00:00-2018-12-07 00:00:00,0.18,0.66,113,0.6495952633655661,0.5162946277615148,False,False,0.0011124920276502984,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
2974,2019-04-15 00:00:00-2019-11-06 00:00:00,0.03,0.18,7,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,0.6493834761075364,0.5164640635524785,False,False,0.7696680585426422,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
289,2019-03-08 00:00:00-2019-07-27 00:00:00,0.06,0.29,8,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,0.6498871005664136,0.5166622814312687,False,False,4.200200833116367e-07,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
2162,2019-02-28 00:00:00-2019-10-31 00:00:00,0.08,0.51,19,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,-0.6479724043666172,0.5174106675486361,False,False,0.7700868468495154,160139,71070,58,54,Demographics,Promotion,mean,0.5990543643641517
2421,2019-02-28 00:00:00-2019-12-27 00:00:00,0.83,2.47,250,2017-03-09 00:00:00-2018-12-14 00:00:00,0.34,1.11,222,-0.6440688226259238,0.5197367060882326,False,False,0.019731143740055777,160139,71070,58,54,Demographics,Promotion,mean,0.601456313963741
255,2019-03-08 00:00:00-2019-07-27 00:00:00,0.06,0.29,8,2017-07-27 00:00:00-2017-11-30 00:00:00,0.06,0.32,7,0.6434435843598804,0.5205081517859098,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6020577848510137
190,2019-04-25 00:00:00-2019-12-20 00:00:00,0.03,0.18,8,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,0.6408872888956793,0.521921764352382,False,False,0.5738654072006764,160139,71070,58,54,Demographics,Promotion,mean,0.6034010924750594
888,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2017-08-26 00:00:00-2018-08-01 00:00:00,0.01,0.14,5,0.639559354554548,0.5232575584930795,False,False,0.6817648385315963,160139,71070,58,54,Demographics,Promotion,mean,0.6045605650460507
2966,2019-04-15 00:00:00-2019-11-06 00:00:00,0.03,0.18,7,2017-03-16 00:00:00-2018-12-07 00:00:00,0.18,0.66,113,0.6389672200614644,0.5234472334022249,False,False,4.5994960364801195e-12,160139,71070,58,54,Demographics,Promotion,mean,0.6045605650460507
886,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,-0.6380456151829972,0.5238704109530545,False,False,0.44594811566353876,160139,71070,58,54,Demographics,Promotion,mean,0.6045605650460507
182,2019-04-25 00:00:00-2019-12-20 00:00:00,0.03,0.18,8,2017-03-16 00:00:00-2018-12-07 00:00:00,0.18,0.66,113,0.6380610976764798,0.5239356401925013,False,False,1.4563625115129222e-11,160139,71070,58,54,Demographics,Promotion,mean,0.6045605650460507
19,2019-03-29 00:00:00-2019-12-20 00:00:00,0.07,0.35,20,2017-04-20 00:00:00-2018-12-14 00:00:00,0.09,0.34,55,-0.6363721393536579,0.5248302992281009,False,False,5.2974727515575985e-05,160139,71070,58,54,Demographics,Promotion,mean,0.6053009044135088
2177,2019-02-28 00:00:00-2019-10-31 00:00:00,0.08,0.51,19,2017-03-11 00:00:00-2018-12-11 00:00:00,0.07,0.44,42,0.6360790094838958,0.5251429416867964,False,False,0.01958990812084832,160139,71070,58,54,Demographics,Promotion,mean,0.6053695983203938
2264,2019-04-17 00:00:00-2019-12-24 00:00:00,0.12,0.54,30,2017-03-28 00:00:00-2018-09-14 00:00:00,0.07,0.41,40,0.6320252522870338,0.5276819167544697,False,False,0.44145366847410006,160139,71070,58,54,Demographics,Promotion,mean,0.6079136177727934
1054,2019-04-03 00:00:00-2019-06-06 00:00:00,0.05,0.28,3,2018-02-28 00:00:00-2018-09-19 00:00:00,0.03,0.29,7,0.6338977004042924,0.527858103726627,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6079136177727934
1951,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,2018-01-22 00:00:00-2018-07-30 00:00:00,0.01,0.1,2,-0.624348524010349,0.5328822431672339,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6134043915572779
2535,2019-03-07 00:00:00-2019-12-13 00:00:00,0.13,0.61,38,2018-07-23 00:00:00-2018-09-30 00:00:00,0.04,0.2,3,-0.625635812678393,0.5333034634454741,False,False,0.0011052403945089656,160139,71070,58,54,Demographics,Promotion,mean,0.6134769308751782
145,2019-04-04 00:00:00-2019-12-06 00:00:00,0.11,0.51,28,2017-03-16 00:00:00-2018-08-18 00:00:00,0.03,0.17,15,-0.6230369554347671,0.5334582007610245,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6134769308751782
2203,2019-02-28 00:00:00-2019-10-31 00:00:00,0.08,0.51,19,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,-0.620265331210905,0.5354384964590434,False,False,1.164829774277953e-06,160139,71070,58,54,Demographics,Promotion,mean,0.6153103659368209
57,2019-03-29 00:00:00-2019-12-20 00:00:00,0.07,0.35,20,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,0.6200638557240715,0.5355669656690891,False,False,0.0006223197836165166,160139,71070,58,54,Demographics,Promotion,mean,0.6153103659368209
914,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2017-03-08 00:00:00-2018-10-23 00:00:00,0.02,0.2,14,0.6121136927740125,0.5413237497997445,False,False,0.04225578729713639,160139,71070,58,54,Demographics,Promotion,mean,0.6216257366879447
2112,2019-02-28 00:00:00-2019-12-30 00:00:00,33.85,24.02,10357,2017-03-04 00:00:00-2018-12-17 00:00:00,12.26,9.32,8017,0.6088289297266437,0.5428618470787854,False,False,1.3067784466835677e-93,160139,71070,58,54,Demographics,Promotion,mean,0.6230087388398087
2626,2019-02-28 00:00:00-2019-12-23 00:00:00,0.15,0.55,46,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,0.6087752033804881,0.5430490052178099,False,False,2.9031041330327612e-05,160139,71070,58,54,Demographics,Promotion,mean,0.6230087388398087
2374,2019-04-03 00:00:00-2019-08-04 00:00:00,0.02,0.15,3,2017-07-20 00:00:00-2018-10-18 00:00:00,0.05,0.28,21,0.608418271643481,0.5438391512393865,False,False,0.008826655677121917,160139,71070,58,54,Demographics,Promotion,mean,0.623616131239028
1620,2019-04-11 00:00:00-2019-11-26 00:00:00,0.02,0.15,5,2017-07-20 00:00:00-2018-10-18 00:00:00,0.05,0.28,21,0.6031928813805112,0.5467985836891139,False,False,0.04186120394634276,160139,71070,58,54,Demographics,Promotion,mean,0.6263658546786285
3097,2019-04-04 00:00:00-2019-12-05 00:00:00,0.08,0.37,19,2017-07-27 00:00:00-2017-11-30 00:00:00,0.06,0.32,7,0.6031608502409858,0.5468701151083014,False,False,0.09277234679146568,160139,71070,58,54,Demographics,Promotion,mean,0.6263658546786285
95,2019-02-28 00:00:00-2019-10-15 00:00:00,0.02,0.13,4,2018-01-22 00:00:00-2018-07-30 00:00:00,0.01,0.1,2,0.6027201769164067,0.5470226883042035,False,False,0.6811186488557639,160139,71070,58,54,Demographics,Promotion,mean,0.6263658546786285
1729,2019-03-05 00:00:00-2019-08-01 00:00:00,0.04,0.23,6,2017-04-25 00:00:00-2018-12-12 00:00:00,0.16,0.72,93,0.6021306136736971,0.5478688328208021,False,False,3.5996564425131755e-09,160139,71070,58,54,Demographics,Promotion,mean,0.6270345684724205
2237,2019-03-05 00:00:00-2019-10-01 00:00:00,0.01,0.1,2,2017-05-09 00:00:00-2018-09-06 00:00:00,0.02,0.24,10,0.600653089721994,0.548554143179389,False,False,0.4480525581828957,160139,71070,58,54,Demographics,Promotion,mean,0.6275186563773786
2263,2019-04-17 00:00:00-2019-12-24 00:00:00,0.12,0.54,30,2017-10-16 00:00:00-2018-02-13 00:00:00,0.03,0.22,4,0.5982653876833876,0.5502424380636797,False,False,0.0010747904186922054,160139,71070,58,54,Demographics,Promotion,mean,0.6291490974418364
870,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2017-05-24 00:00:00-2018-11-21 00:00:00,0.06,0.31,34,-0.596712080554022,0.5513752279807839,False,False,1.8099157951876964e-05,160139,71070,58,54,Demographics,Promotion,mean,0.6299691752609927
2365,2019-04-03 00:00:00-2019-08-04 00:00:00,0.02,0.15,3,2017-06-24 00:00:00-2018-12-12 00:00:00,0.11,0.53,59,0.5970099326617165,0.5514863933931935,False,False,2.5319072227012814e-06,160139,71070,58,54,Demographics,Promotion,mean,0.6299691752609927
1611,2019-04-11 00:00:00-2019-11-26 00:00:00,0.02,0.15,5,2017-06-24 00:00:00-2018-12-12 00:00:00,0.11,0.53,59,0.5939280446721109,0.5530345848740066,False,False,2.2521352159574935e-05,160139,71070,58,54,Demographics,Promotion,mean,0.6311827490729799
539,2019-03-27 00:00:00-2019-12-03 00:00:00,0.1,0.52,26,2017-04-06 00:00:00-2018-10-24 00:00:00,0.06,0.28,36,-0.5935465391346358,0.5530765225990659,False,False,0.01713670250390162,160139,71070,58,54,Demographics,Promotion,mean,0.6311827490729799
2452,2019-03-12 00:00:00-2019-12-16 00:00:00,0.34,1.33,95,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,0.5922980252420371,0.5539863372244733,False,False,5.716771074398345e-06,160139,71070,58,54,Demographics,Promotion,mean,0.631919560629919
813,2019-03-05 00:00:00-2019-11-13 00:00:00,0.02,0.17,5,2017-10-16 00:00:00-2018-02-13 00:00:00,0.03,0.22,4,-0.591281215319217,0.5550498026516828,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.6328308522129767
