,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
506,2017-03-07 00:00:00-2019-12-30 00:00:00,2.17,2.96,2230,2017-03-04 00:00:00-2019-12-29 00:00:00,1.81,2.3,1867,-4.562167810315864,5.372019285973077e-06,False,False,0.9632474799492535,29663,220545,41,61,Demographics,Demographics,mean,1.0632354179306383e-05
2475,2017-04-11 00:00:00-2019-12-05 00:00:00,0.08,0.39,76,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,4.565334315766711,5.379988430260874e-06,False,False,2.3036459782428006e-11,29663,220545,41,61,Demographics,Demographics,mean,1.0637069544357948e-05
1869,2017-03-09 00:00:00-2019-12-16 00:00:00,0.31,1.14,319,2019-03-22 00:00:00-2019-12-30 00:00:00,0.01,0.13,3,4.568375001420963,5.790700074990964e-06,False,False,2.7579977542890503e-28,29663,220545,41,61,Demographics,Demographics,mean,1.143723334313568e-05
2170,2017-04-08 00:00:00-2019-11-29 00:00:00,0.13,0.69,124,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-4.543258991926068,5.922225971383939e-06,False,False,2.0836792323321534e-05,29663,220545,41,61,Demographics,Demographics,mean,1.1684889377735773e-05
832,2017-04-20 00:00:00-2019-12-26 00:00:00,0.11,0.39,110,2018-02-28 00:00:00-2019-07-16 00:00:00,0.01,0.1,5,4.538761166762222,6.19532994327912e-06,False,False,2.9859339135146887e-18,29663,220545,41,61,Demographics,Demographics,mean,1.2211085105593629e-05
1851,2017-03-09 00:00:00-2019-12-16 00:00:00,0.31,1.14,319,2017-03-16 00:00:00-2019-11-04 00:00:00,0.02,0.16,19,4.51432573442566,6.742750738317023e-06,False,False,2.0617464900738797e-20,29663,220545,41,61,Demographics,Demographics,mean,1.327631582808233e-05
350,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2018-07-26 00:00:00-2019-12-24 00:00:00,0.04,0.34,20,4.493122532288037,7.594541683273233e-06,False,False,4.682248948607268e-21,29663,220545,41,61,Demographics,Demographics,mean,1.4938024137347352e-05
1821,2017-03-08 00:00:00-2019-12-27 00:00:00,0.64,2.03,655,2017-05-03 00:00:00-2019-11-29 00:00:00,0.04,0.22,35,4.487857590004955,7.6217842170587395e-06,False,False,1.1933973173322757e-24,29663,220545,41,61,Demographics,Demographics,mean,1.4976137408957524e-05
335,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2017-04-03 00:00:00-2018-05-18 00:00:00,0.02,0.19,9,4.4904337502264,7.809297772657063e-06,False,False,1.2815890452519838e-21,29663,220545,41,61,Demographics,Demographics,mean,1.532876593725675e-05
729,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-05-27 00:00:00-2019-12-05 00:00:00,0.03,0.32,25,4.476352131732646,8.286564602289082e-06,False,False,0.0003908372878268152,29663,220545,41,61,Demographics,Demographics,mean,1.624883522426201e-05
2109,2017-03-22 00:00:00-2019-12-28 00:00:00,0.27,1.51,274,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.447458254968653,9.404600619668104e-06,False,False,0.23627900798951162,29663,220545,41,61,Demographics,Demographics,mean,1.8422180637703777e-05
349,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2018-03-13 00:00:00-2019-07-12 00:00:00,0.01,0.08,3,4.438978221951729,9.87365456667014e-06,False,False,5.229213851420185e-24,29663,220545,41,61,Demographics,Demographics,mean,1.932110821679337e-05
1453,2017-05-09 00:00:00-2018-09-06 00:00:00,0.02,0.24,10,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-4.431684993104867,1.0091140767084542e-05,False,False,1.362379227307827e-13,29663,220545,41,61,Demographics,Demographics,mean,1.97264189122474e-05
693,2018-04-23 00:00:00-2019-12-05 00:00:00,0.01,0.12,8,2017-03-04 00:00:00-2019-12-30 00:00:00,0.31,0.88,324,-4.400409552627078,1.1783225897380051e-05,False,False,7.616486315208189e-39,29663,220545,41,61,Demographics,Demographics,mean,2.301052523960166e-05
