,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
99,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2017-07-30 00:00:00-2017-08-13 00:00:00,37.27,79.73,559,0.34495922910939164,0.7359314068471252,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
46,2019-04-07 00:00:00-2019-04-28 00:00:00,21.36,46.94,470,2018-10-07 00:00:00-2018-10-21 00:00:00,22.8,47.36,342,-0.32330359536510295,0.7490040793670123,False,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
29,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,0.32178000020493464,0.752970529979914,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
26,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2017-07-09 00:00:00-2017-07-23 00:00:00,34.4,72.0,516,0.31953333281273266,0.754618719404706,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
1,2019-03-03 00:00:00-2019-04-21 00:00:00,16.04,40.3,802,2017-06-18 00:00:00-2017-07-02 00:00:00,28.73,61.08,431,-0.30454277916739086,0.7635380680923727,False,False,0.31731050786291115,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
33,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-09-16 00:00:00-2018-09-30 00:00:00,26.13,54.48,392,0.30621871058150646,0.7644604114028313,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
52,2019-07-07 00:00:00-2019-07-21 00:00:00,42.6,89.61,639,2017-11-12 00:00:00-2017-12-10 00:00:00,21.66,48.92,628,0.30096880472027315,0.7659165816646596,False,False,0.7033600779832025,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
31,2019-03-17 00:00:00-2019-03-24 00:00:00,29.25,54.48,234,2018-07-08 00:00:00-2018-07-22 00:00:00,44.87,93.42,673,0.2915350290405677,0.7753565143669241,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
101,2019-12-22 00:00:00-2019-12-29 00:00:00,25.0,46.81,200,2018-03-18 00:00:00-2018-04-01 00:00:00,21.8,45.57,327,0.28612348754954775,0.7793953350603413,True,False,1.0,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
71,2019-07-28 00:00:00-2019-08-18 00:00:00,25.14,54.85,553,2018-12-09 00:00:00-2018-12-16 00:00:00,20.5,39.16,164,-0.28557388553506236,0.7803613342074558,False,False,0.6604458513233891,160139,71070,12,9,Trend,Promotion,mean,0.9935710975930939
