result,coverage,p-value,capitalRisk
63,0.1751041772513211,7.842226852222938e-13,0.04186389497637463
64,0.1751041772513211,8.918726409059183e-13,0.04186389497548276
65,0.1751041772513211,1.0926265282303362e-12,0.04186389497439014
66,0.1751041772513211,1.0959871194639356e-12,0.041863894973294145
67,0.1751041772513211,1.187261650649775e-12,0.04186389497210689
68,0.1751041772513211,1.4357558313303675e-12,0.04186389497067113
69,0.1751041772513211,1.4412493464638616e-12,0.04186389496922988
70,0.1751041772513211,1.5088130733240215e-12,0.04186389496772107
71,0.1751041772513211,1.6945900322095155e-12,0.04186389496602648
72,0.1751041772513211,1.7827069244740905e-12,0.04186389496424377
73,0.1751041772513211,1.7873849701747912e-12,0.041863894962456384
74,0.1751041772513211,1.881099469693911e-12,0.041863894960575285
75,0.1751041772513211,1.8931904422302588e-12,0.0418638949586821
76,0.1751041772513211,1.968922153879197e-12,0.04186389495671317
77,0.1751041772513211,1.9780480774800015e-12,0.04186389495473512
78,0.1751041772513211,2.39249743730382e-12,0.04186389495234263
79,0.1751041772513211,2.430932242787747e-12,0.0418638949499117
80,0.1751041772513211,2.457142655349523e-12,0.04186389494745455
81,0.1751041772513211,2.861478847318229e-12,0.041863894944593076
82,0.1751041772513211,3.121100191589545e-12,0.041863894941471975
83,0.1751041772513211,3.17478196979891e-12,0.04186389493829719
84,0.1751041772513211,3.1981704053416324e-12,0.041863894935099025
85,0.1751041772513211,3.3424711680628686e-12,0.04186389493175655
86,0.1770292977638652,3.440774856884928e-12,0.04186389492831578
87,0.1770292977638652,3.681132243009916e-12,0.041863894924634645
88,0.1770292977638652,4.00129616716889e-12,0.041863894920633346
89,0.1770292977638652,4.09923308475366e-12,0.04186389491653411
90,0.1770292977638652,4.3047040457734095e-12,0.04186389491222941
91,0.1770292977638652,4.510928230951485e-12,0.04186389490771848
92,0.1770292977638652,4.596886924774141e-12,0.0418638949031216
93,0.19126701061767237,4.692777004775546e-12,0.041863894898428816
94,0.19126701061767237,4.838393528687604e-12,0.04186389489359042
95,0.19319213113021647,4.930625493352205e-12,0.0418638948886598
96,0.19319213113021647,6.056051363244342e-12,0.041863894882603746
97,0.19319213113021647,6.56271028536483e-12,0.04186389487604104
98,0.19319213113021647,6.8232506401695994e-12,0.04186389486921779
99,0.19319213113021647,8.01402114641269e-12,0.04186389486120377
100,0.19319213113021647,8.437363915262753e-12,0.0418638948527664
